Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
6PYO,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",318,1.1914631543700671
7DB2,,698,2GF0,TRANSPORT PROTEIN,468,1.191465413171155
8D7P,,931,7AVU,PROTEIN BINDING,594,1.191656881125572
8C6A,,427,4IBY,DNA BINDING PROTEIN,500,1.19166499675516
6LXC,,399,4DHE,CELL CYCLE,261,1.191729753658161
8G8S,,308,6RVN,CELL CYCLE,448,1.1917620877758783
7CMR,,179,1M7B,SIGNALING PROTEIN,263,1.1919625160490597
6HXV,,356,5QQM,HYDROLASE/TRANSFERASE,333,1.1919662228324197
6HXV,,316,1CIP,HYDROLASE,333,1.1921239099845322
8C69,,427,4IBY,DNA BINDING PROTEIN,500,1.1921467737384128
4JND,,282,1KE8,TRANSFERASE,412,1.19228596504835
6UJO,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,384,1.192293501117306
4IRR,,424,4RJL,TRANSLATION,589,1.1923396768579633
6LTK,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,208,1.192348209973059
6THV,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,381,1.192364021820138
7VNI,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,433,1.1924933640324331
6KCP,,285,2R3K,TRANSFERASE,333,1.1924937605953865
7ME5,,104,1O4C,SIGNALING PROTEIN,153,1.192501995897178
6XZJ,,319,3LUI,PROTEIN TRANSPORT,245,1.192640569279904
6ULV,,611,4GNL,LYASE,455,1.192820829662351
7JHD,,698,2GF0,TRANSPORT PROTEIN,467,1.192841844241522
6ULV,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,455,1.193005881790201
8SO1,,792,6TA7,RNA BINDING PROTEIN,470,1.1932068326742349
8K71,,356,5QQL,HYDROLASE/TRANSFERASE,340,1.193233974430034
8FDX,,329,8JCA,PROTEIN BINDING,202,1.19325489742052
8GM5,,772,1EFC,RNA BINDING PROTEIN,555,1.193279997620459
6WSJ,,303,7ZPC,CELL CYCLE,358,1.19340469146524
8R79,,308,6RVN,CELL CYCLE,240,1.193410875636746
8B8Z,,741,6HTW,TRANSLATION,528,1.1934785095393186
7CMR,,424,4RJL,TRANSLATION,263,1.193482247718085
6WSJ,,296,5MHQ,CELL CYCLE/INHIBITOR,358,1.1935311687117272
8GYN,,250,7VV8,CELL CYCLE,169,1.193561283861008
7ULU,,804,6D5M,SIGNALING PROTEIN,550,1.1941214925614865
6HXV,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,333,1.1941771003816577
7D87,,292,2C6I,TRANSFERASE,211,1.1942253287828246
7KP1,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,378,1.1942600659330316
6QQ4,,161,4L9S,SIGNALING PROTEIN,243,1.1943876690075206
6LPH,,411,6SI1,DNA BINDING PROTEIN,272,1.1944025976065866
7OXU,,400,1KJZ,TRANSLATION,249,1.194427828285996
6TFW,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,530,1.1944574845775222
6KOJ,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,257,1.1944941267852158
6WYP,,296,5MHQ,CELL CYCLE/INHIBITOR,358,1.1945700658946812
6HXY,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,301,1.194588662683231
7XUB,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,538,1.1946212337939184
7JL7,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,479,1.1946222452931403
8SO1,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,470,1.1946239266605634
7VNH,,318,5SZH,ENDOCYTOSIS,225,1.1946509286305949
6ZW1,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,380,1.194652373296839
8C6B,,427,4IBY,DNA BINDING PROTEIN,500,1.1946726478197558
7O08,,653,2FB3,LIGAND BINDING PROTEIN,451,1.1950519112199494
7B39,,319,3LUI,PROTEIN TRANSPORT,255,1.195111046191368
8C6H,,427,4IBY,DNA BINDING PROTEIN,500,1.1953209735431258
6ULV,,400,1KJZ,TRANSLATION,455,1.1954580572249416
8FDX,,308,6RVN,CELL CYCLE,202,1.1956160674570069
7OC3,,260,6SIP,PEPTIDE BINDING PROTEIN,407,1.195736572295537
8C6F,,427,4IBY,DNA BINDING PROTEIN,500,1.1959468513076694
7YFK,,535,4EDW,IMMUNE SYSTEM,580,1.1960420431487986
7JHD,,399,4DHE,CELL CYCLE,467,1.1960685270631075
7ULU,,399,4DHE,CELL CYCLE,550,1.196099058937261
8HTC,,182,6JIK,SIGNALING PROTEIN,290,1.1961213094555478
6ZMU,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,424,1.1961911182930054
8C6F,,441,8DGO,SIGNALING PROTEIN,500,1.1963046583063697
7DB4,,698,2GF0,TRANSPORT PROTEIN,454,1.1963190900082985
7DB0,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,461,1.1967627518622836
7ZC9,,298,1YKR,TRANSFERASE,392,1.196782746108758
7JQG,,674,1RDY,HYDROLASE,499,1.1968057090649482
6V7A,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,357,1.196823628589754
7AZT,,427,4IBY,DNA BINDING PROTEIN,502,1.1968405469261365
8B8Z,,399,4DHE,CELL CYCLE,528,1.196917835671915
7QG1,,400,1KJZ,TRANSLATION,544,1.196932581330656
7XHK,,535,4EDW,IMMUNE SYSTEM,334,1.197096898174814
7JO7,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",367,1.1972340798749883
6UPR,,804,6D5M,SIGNALING PROTEIN,543,1.1973452892887204
7ALT,,674,1RDY,HYDROLASE,535,1.1973681315788367
1D4X,,316,1CIP,HYDROLASE,492,1.1974075793919297
7SH4,,260,6SIP,PEPTIDE BINDING PROTEIN,378,1.1975075617260336
7JQG,,365,4XUL,TRANSFERASE,499,1.19762296122564
8C1U,,441,8DGO,SIGNALING PROTEIN,500,1.1976604708932364
8A8Q,,612,6IYB,TRANSPORT PROTEIN,489,1.197805946023638
6HXY,,168,1YZG,TRANSPORT PROTEIN,301,1.1978297768741846
7ZC9,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,392,1.1978362690049928
7KP1,,260,6SIP,PEPTIDE BINDING PROTEIN,378,1.197885338729557
8CK5,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",251,1.19793813455762
6O5Z,,741,6HTW,TRANSLATION,531,1.19799790324265
3K6J,,298,1YKR,TRANSFERASE,431,1.1980184410912964
6WMS,,621,4ZI2,HYDROLASE,419,1.1980541359844583
6PYO,,250,7VV8,CELL CYCLE,318,1.1982503167302307
8A8Q,,684,8STM,ONCOPROTEIN,489,1.1982576066559214
8K71,,356,5QQM,HYDROLASE/TRANSFERASE,340,1.1982959274275042
6ZUW,,182,6JIK,SIGNALING PROTEIN,287,1.1984503376553142
6YUY,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,360,1.1985437034194308
6TBN,,612,6IYB,TRANSPORT PROTEIN,483,1.19863201023294
7JHD,,743,4TMX,TRANSLATION,467,1.1987816515528915
7CMR,,182,6JIK,SIGNALING PROTEIN,263,1.198804197069537
6Y20,,698,2GF0,TRANSPORT PROTEIN,495,1.1988636137938062
6YRB,,199,5TX4,TRANSFERASE/CYTOKINE,199,1.1989524086071184
8DIO,,356,5QQM,HYDROLASE/TRANSFERASE,300,1.1990288334090535
7XUB,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",538,1.1990595357432263
6XZK,,356,5QQL,HYDROLASE/TRANSFERASE,240,1.1991072245187742
7AZT,,741,6HTW,TRANSLATION,502,1.1993117423091724
8CIH,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,362,1.1993498147965038
7PRX,,399,4DHE,CELL CYCLE,267,1.1994425759794136
6HXY,,168,3RSO,SIGNALING PROTEIN,301,1.199485598976494
6XZV,,179,1M7B,SIGNALING PROTEIN,238,1.1994888236778212
1ZL9,,303,7ZPC,CELL CYCLE,414,1.199488943077327
6XRO,,285,2R3K,TRANSFERASE,188,1.1996346047188224
6VNV,,182,1SVI,HYDROLASE,274,1.1996653185425965
6V7A,,303,7ZPC,CELL CYCLE,357,1.199703060403868
7F2X,,457,7G8E,CYTOSOLIC PROTEIN,303,1.1997515955039255
7OXZ,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",248,1.1997843264550498
7POK,,399,4DHE,CELL CYCLE,372,1.199942258899402
7XVX,,279,1GII,TRANSFERASE,366,1.1999467755995037
7JHD,,356,5QQM,HYDROLASE/TRANSFERASE,467,1.200069582165719
6V4E,,279,1GII,TRANSFERASE,204,1.2000849779524982
7XVX,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",366,1.2002124673248469
6XZK,,356,5QQM,HYDROLASE/TRANSFERASE,240,1.2003621115011174
8CKC,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",249,1.2004070382678858
8SWE,,441,8DGO,SIGNALING PROTEIN,574,1.2005599472565636
7ZFX,,319,3LUI,PROTEIN TRANSPORT,249,1.2005800707885057
6UJO,,246,2H2D,HYDROLASE,384,1.200604838328445
8UQB,,260,6SIP,PEPTIDE BINDING PROTEIN,408,1.2010245172777572
6XG7,,285,2R3K,TRANSFERASE,304,1.2010563082771373
7XUB,,741,6HTW,TRANSLATION,538,1.2011830111900643
7YB7,,424,4RJL,TRANSLATION,294,1.2012745930382127
8HTC,,179,1M7B,SIGNALING PROTEIN,290,1.2014346958194813
6WYP,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,358,1.201462364495293
8C6C,,427,4IBY,DNA BINDING PROTEIN,500,1.2016401024650096
7ME5,,106,1O43,SIGNALING PROTEIN,153,1.2016739136925774
7VNI,,292,7UG1,CELL CYCLE,433,1.2017433446917474
6XZJ,,365,4XUL,TRANSFERASE,245,1.2019390867803583
6HXY,,171,6T5V,SIGNALING PROTEIN,301,1.2019494038594605
7DAX,,698,2GF0,TRANSPORT PROTEIN,452,1.2020716416269168
6KD6,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,325,1.2021148770940002
8SO1,,411,6SI1,DNA BINDING PROTEIN,470,1.2021304874118257
7FCL,,292,2C6I,TRANSFERASE,438,1.202329312303189
7D8A,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,210,1.2025198016008274
8GM5,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,555,1.20255717617672
8E8B,,621,4ZI2,HYDROLASE,436,1.2026469624848386
7OXU,,182,1SVI,HYDROLASE,249,1.2026547445109657
7POK,,411,6SI1,DNA BINDING PROTEIN,372,1.2026596624736208
6XZH,,356,5QQL,HYDROLASE/TRANSFERASE,245,1.202691620536492
6ULV,,441,8DGO,SIGNALING PROTEIN,455,1.202729623517982
7CQV,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,195,1.202878303383458
7XVX,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,366,1.2029109417381847
7AXF,,182,1SVI,HYDROLASE,267,1.2029354326187376
6YYK,,198,4LOF,APOPTOSIS,318,1.2029674592518338
6UJO,,319,3LUI,PROTEIN TRANSPORT,384,1.203102678328353
8DHU,,424,4RJL,TRANSLATION,299,1.2031145975835331
7K2R,,772,1EFC,RNA BINDING PROTEIN,581,1.2032115202632805
7VNI,,292,2C6I,TRANSFERASE,433,1.2033729562465303
8E8B,,279,1GII,TRANSFERASE,436,1.2034544265557543
7JW6,,308,6RVN,CELL CYCLE,231,1.2035340391606584
7UVE,,250,6RL4,PEPTIDE BINDING PROTEIN,236,1.203546050860164
7BO6,,427,4IBY,DNA BINDING PROTEIN,247,1.2035685818447028
8FDY,,329,8JCA,PROTEIN BINDING,201,1.203581439209413
6ULV,,329,8JCA,PROTEIN BINDING,455,1.2035895723000056
8BOK,,399,4DHE,CELL CYCLE,282,1.203624497743224
6WYP,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,358,1.203662428837066
8C1U,,427,4IBY,DNA BINDING PROTEIN,500,1.2037426735022791
7MNU,,162,1P2T,SIGNALING PROTEIN,243,1.2037987173814082
6V4H,,279,1GII,TRANSFERASE,209,1.2038864166127698
7MIC,,316,1CIP,HYDROLASE,220,1.2039620055752147
8R79,,427,4IBY,DNA BINDING PROTEIN,240,1.203993733111341
8DHH,,279,1GII,TRANSFERASE,367,1.204096283314208
7ZC9,,296,5MHQ,CELL CYCLE/INHIBITOR,392,1.2041103275682992
7APJ,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,502,1.2041677066653074
6XZV,,356,5QQL,HYDROLASE/TRANSFERASE,238,1.2042146307028516
6SLW,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,245,1.2043396484364342
6HXV,,183,1ZNY,TRANSFERASE,333,1.204471548459452
6UJO,,260,6SIP,PEPTIDE BINDING PROTEIN,384,1.2045103540365871
6V7A,,296,5MHQ,CELL CYCLE/INHIBITOR,357,1.2045633436745329
7JQG,,441,8DGO,SIGNALING PROTEIN,499,1.2045671301376804
6V7A,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,357,1.2046562648064132
7DB3,,698,2GF0,TRANSPORT PROTEIN,450,1.2047532765998876
8D6D,,329,8JCA,PROTEIN BINDING,544,1.2048055986237969
6HXV,,172,8QUG,TRANSFERASE,333,1.204862717682056
7OY4,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",258,1.204875799127523
6WSJ,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,358,1.2048953898131645
6SLW,,356,5QQM,HYDROLASE/TRANSFERASE,245,1.2048990359215117
6HXV,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,333,1.2049160176016336
7D8A,,298,1YKR,TRANSFERASE,210,1.2050624792995808
8OMK,,886,7XQL,TOXIN,600,1.2050990118372484
6KD6,,400,1KJZ,TRANSLATION,325,1.2051553324394968
7DB4,,316,1CIP,HYDROLASE,454,1.205170528691081
7K2R,,684,8STM,ONCOPROTEIN,581,1.2053689105009917
7QG1,,441,8DGO,SIGNALING PROTEIN,544,1.2054181210160777
7DAY,,698,2GF0,TRANSPORT PROTEIN,451,1.2054502925771946
6XZH,,365,4XUL,TRANSFERASE,245,1.205468569577491
4JND,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,412,1.2054821226800765
7FCL,,643,4YW9,LYASE,438,1.2054971136000423
6GWQ,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,475,1.2055388968403518
6S9F,,643,4YW9,LYASE,598,1.2055444873671874
6Y20,,670,3ZYC,HYDROLASE,495,1.2056618258714662
7O2R,,298,1YKR,TRANSFERASE,357,1.2057435154076752
6KOJ,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,257,1.2058005098170053
7LG3,,246,2H2D,HYDROLASE,394,1.206151116652951
7ZC9,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,392,1.2062141173764067
6T2M,,427,4IBY,DNA BINDING PROTEIN,249,1.2062386353783674
7DOV,,612,6IYB,TRANSPORT PROTEIN,445,1.2062657903219849
7CQV,,292,7UG1,CELL CYCLE,195,1.2063523444462838
6T2M,,182,1SVI,HYDROLASE,249,1.2063822102656645
8BS5,,250,7VV8,CELL CYCLE,164,1.206388600772506
7APJ,,743,4TMX,TRANSLATION,502,1.206432265359622
7Q4I,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",569,1.206452522998329
8G1Z,,318,5SZH,ENDOCYTOSIS,359,1.2065089337613095
7CMR,,172,8QUG,TRANSFERASE,263,1.2065497579727764
6XG7,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,304,1.206577582717291
8D6D,,772,1EFC,RNA BINDING PROTEIN,544,1.2066019163385877
8EWR,,670,3ZYC,HYDROLASE,447,1.2066073031492333
4JND,,611,4GNL,LYASE,412,1.2067308960528735
6WSJ,,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,358,1.2068180901034204
6XDB,,621,4ZI2,HYDROLASE,404,1.2068646072712292
7AB8,,365,4XUL,TRANSFERASE,311,1.206954960112562
6HXY,,161,4L9S,SIGNALING PROTEIN,301,1.2070410007669463
3K6J,,292,2C6I,TRANSFERASE,431,1.2070748009287189
7JL7,,772,1EFC,RNA BINDING PROTEIN,479,1.2072232690803
4JND,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,412,1.2072570874241255
6T2T,,400,1KJZ,TRANSLATION,254,1.2074078950802996
7XVX,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,366,1.20742264618787
6KCP,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,333,1.2075089396431682
6Y20,,674,1RDY,HYDROLASE,495,1.207567731035062
8HTC,,172,8QUG,TRANSFERASE,290,1.2075851962879434
6KD6,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,325,1.2077451447213594
8OIJ,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,350,1.2078133573696486
7CQV,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,195,1.2078687981432283
8DKT,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,526,1.2079108615728902
7MRS,,279,1GII,TRANSFERASE,366,1.2082595656388029
6V4E,,182,6JIK,SIGNALING PROTEIN,204,1.20829339484498
7O2R,,292,2C6I,TRANSFERASE,357,1.2083294910272158
7MNU,,356,5QQL,HYDROLASE/TRANSFERASE,243,1.2083371257725328
7OY4,,400,1KJZ,TRANSLATION,258,1.208388156962374
7JQG,,792,6TA7,RNA BINDING PROTEIN,499,1.2084450049118616
7UAD,,182,6JIK,SIGNALING PROTEIN,277,1.2084451441676975
6YYK,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,318,1.2085127263607425
7VNI,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,433,1.2086821438634592
7JQG,,698,2GF0,TRANSPORT PROTEIN,499,1.2088139776106337
6TFW,,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",530,1.2088309067822016
6V4E,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,204,1.2089199253160994
6S7X,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",332,1.2089694801684407
8DKT,,365,4XUL,TRANSFERASE,526,1.2090312641403165
7ULU,,871,3BFK,HYDROLASE,550,1.2090522974903626
6Q9M,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,525,1.209118557183781
8DKT,,772,1EFC,RNA BINDING PROTEIN,526,1.2091214739715757
7AB8,,182,6JIK,SIGNALING PROTEIN,311,1.2091279673304367
7UVE,,308,6RVN,CELL CYCLE,236,1.2091911512126663
6JVR,,172,8QUG,TRANSFERASE,305,1.2092476650042825
6YRB,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",199,1.2093913504334552
6V4E,,318,5SZH,ENDOCYTOSIS,204,1.2094168723639585
7RL3,,108,4F59,PROTEIN BINDING,165,1.2094204323071465
7POK,,282,1KE8,TRANSFERASE,372,1.209605124411086
6ULV,,427,4IBY,DNA BINDING PROTEIN,455,1.2096834892593096
8ADD,,329,8JCA,PROTEIN BINDING,209,1.2097100585454976
7VNI,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,433,1.2097140609493011
7AZW,,308,6RVN,CELL CYCLE,235,1.2097480291264626
7BO6,,308,6RVN,CELL CYCLE,247,1.2097703287749415
5SGM,,535,4EDW,IMMUNE SYSTEM,315,1.2097716488495245
7FCL,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,438,1.2099131659931903
6V4H,,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,209,1.2099377729723853
8PZ9,,319,3LUI,PROTEIN TRANSPORT,246,1.2100052873726257
6XWV,,743,4TMX,TRANSLATION,536,1.2100258694042614
6UJO,,250,7VV8,CELL CYCLE,384,1.2101670541819514
7B39,,400,1KJZ,TRANSLATION,255,1.210219869487251
8HTC,,441,8DGO,SIGNALING PROTEIN,290,1.210239107491048
7CIU,,621,4ZI2,HYDROLASE,415,1.210249319007798
7MIC,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,220,1.2102997803454207
6XZK,,319,3LUI,PROTEIN TRANSPORT,240,1.2103266696973485
7ZFX,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",249,1.210364777575312
7LZF,,260,6SIP,PEPTIDE BINDING PROTEIN,240,1.210555370629956
6V7A,,318,5SZH,ENDOCYTOSIS,357,1.2107453014094918
6XZV,,427,4IBY,DNA BINDING PROTEIN,238,1.2108128644658651
6TFW,,741,6HTW,TRANSLATION,530,1.2109727869440898
8B8Z,,356,5QQL,HYDROLASE/TRANSFERASE,528,1.211016849870581
6XZK,,180,2GCN,SIGNALING PROTEIN,240,1.211034256638848
6XG7,,303,7ZPC,CELL CYCLE,304,1.2110399602402069
7Y9C,,427,4IBY,DNA BINDING PROTEIN,562,1.21114935663853
7CIX,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,216,1.2111898699097157
7VNI,,285,2R3K,TRANSFERASE,433,1.211211891061903
7Q4I,,840,4GB9,TRANSFERASE/TRANSFERASE INHIBITOR,569,1.211242104133066
6XJN,,611,4GNL,LYASE,417,1.211261201832925
8BOK,,441,8DGO,SIGNALING PROTEIN,282,1.2112958704931789
7D8A,,292,2C6I,TRANSFERASE,210,1.2115169560529837
6XZV,,356,5QQM,HYDROLASE/TRANSFERASE,238,1.211608505087287
6KD6,,282,1KE8,TRANSFERASE,325,1.2116866405847235
7DB1,,698,2GF0,TRANSPORT PROTEIN,450,1.2119066695557037
7B39,,182,1SVI,HYDROLASE,255,1.2120240689511022
8HTC,,183,1ZNY,TRANSFERASE,290,1.2120380682169931
7ME4,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,227,1.212057697247496
7DAZ,,698,2GF0,TRANSPORT PROTEIN,457,1.2121799428643611
6JVR,,182,1SVI,HYDROLASE,305,1.21220104360896
7K2R,,483,5VBZ,HYDROLASE,581,1.2122447226038255
7ZC9,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,392,1.2122496275645558
6HXY,,424,4RJL,TRANSLATION,301,1.2122755425667266
8SWE,,399,4DHE,CELL CYCLE,574,1.2124497656393454
6TBN,,329,8JCA,PROTEIN BINDING,483,1.2124566416304643
6XG7,,356,5QQM,HYDROLASE/TRANSFERASE,304,1.2125147714499005
6V4E,,303,7ZPC,CELL CYCLE,204,1.212566818392308
7ALT,,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",535,1.2126205906408525
8OIJ,,303,7ZPC,CELL CYCLE,350,1.2126334748998484
4JND,,621,4ZI2,HYDROLASE,412,1.212636441273341
8SKI,,279,1GII,TRANSFERASE,426,1.2126901868418276
3K6J,,318,5SZH,ENDOCYTOSIS,431,1.2127038473948988
7AYV,,772,1EFC,RNA BINDING PROTEIN,502,1.2127398772123985
7DAY,,316,1CIP,HYDROLASE,451,1.21275260878678
8G8O,,871,3BFK,HYDROLASE,558,1.212761524302686
7POK,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,372,1.212773723438839
6VRO,,411,6SI1,DNA BINDING PROTEIN,334,1.2128686497920855
7QUT,,792,6TA7,RNA BINDING PROTEIN,504,1.212901677365669
7E1T,,250,7VV8,CELL CYCLE,403,1.2130111120056797
6ZMU,,611,4GNL,LYASE,424,1.213077610532118
7POK,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,372,1.2132063416964107
7JVO,,365,4XUL,TRANSFERASE,432,1.2132612573928618
1ZL9,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,414,1.2134031749039096
7VNI,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,433,1.2134207871347251
7DB2,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,468,1.213448081567535
6TBN,,653,2FB3,LIGAND BINDING PROTEIN,483,1.2134705764514249
6LPH,,424,4RJL,TRANSLATION,272,1.2134918442910554
6XRO,,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,188,1.2136367112195403
4JND,,279,1GII,TRANSFERASE,412,1.2136608806345592
8OIJ,,292,7UG1,CELL CYCLE,350,1.2137044183792325
6TBN,,621,4ZI2,HYDROLASE,483,1.213755771917644
8B8Z,,356,5QQM,HYDROLASE/TRANSFERASE,528,1.213790948416497
8D7P,,887,5UBR,TRANSFERASE/TRANSFERASE REGULATOR,594,1.2138376897614302
6XG7,,292,7UG1,CELL CYCLE,304,1.213858836484319
6KCP,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,333,1.2140075268218091
8R79,,161,4L9S,SIGNALING PROTEIN,240,1.2140134207673752
7BO6,,365,4XUL,TRANSFERASE,247,1.214031992601528
6KOJ,,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",257,1.2141584080246464
7ZFX,,182,1SVI,HYDROLASE,249,1.21417228769294
6XZH,,356,5QQM,HYDROLASE/TRANSFERASE,245,1.2142126768185866
8F1X,,454,6ZQT,PROTEIN BINDING,318,1.2142280600897688
6KOJ,,292,2C6I,TRANSFERASE,257,1.2143200240605492
6Q9M,,674,1RDY,HYDROLASE,525,1.214392051813235
3K6J,,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,431,1.2144569592081411
6KQP,,260,6SIP,PEPTIDE BINDING PROTEIN,220,1.2144580808059922
8D6F,,329,8JCA,PROTEIN BINDING,542,1.2146319007201385
8A8Q,,792,6TA7,RNA BINDING PROTEIN,489,1.2147440308731283
6V4H,,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,209,1.2147562376425918
7APJ,,653,2FB3,LIGAND BINDING PROTEIN,502,1.21477889776546
8A8Q,,674,1RDY,HYDROLASE,489,1.2147998639985829
7ALT,,318,5SZH,ENDOCYTOSIS,535,1.2148275296055435
6XTZ,,684,8STM,ONCOPROTEIN,425,1.2148311303771449
8G8S,,399,4DHE,CELL CYCLE,448,1.214930090466943
7QG1,,804,6D5M,SIGNALING PROTEIN,544,1.215035634035717
8DIO,,411,6SI1,DNA BINDING PROTEIN,300,1.2150593105314162
6JVR,,180,2GCN,SIGNALING PROTEIN,305,1.2152353025799765
8A8Q,,743,4TMX,TRANSLATION,489,1.2152511796067458
6GWQ,,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,475,1.2153244601357844
6ULV,,684,8STM,ONCOPROTEIN,455,1.2154670623109929
7JO7,,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,367,1.215913610915006
7CIV,,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,215,1.216079601693427
7QG1,,427,4IBY,DNA BINDING PROTEIN,544,1.2160926631016469
8SWE,,852,4ANV,TRANSFERASE,574,1.2161118576128178
7CMR,,183,1ZNY,TRANSFERASE,263,1.216368482053214
6XTZ,,292,2C6I,TRANSFERASE,425,1.2163877046357927
7DB3,,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,450,1.2164802104819958
7BO6,,182,1SVI,HYDROLASE,247,1.2165726249209996
8G8O,,400,1KJZ,TRANSLATION,558,1.2166374289179371
8C6C,,792,6TA7,RNA BINDING PROTEIN,500,1.2167409950842214
6LPH,,162,1P2T,SIGNALING PROTEIN,272,1.2167583810624156
7UAD,,182,1SVI,HYDROLASE,277,1.2167722548360256
7MNU,,356,5QQM,HYDROLASE/TRANSFERASE,243,1.2167761255234466
7R5F,,180,2GCN,SIGNALING PROTEIN,301,1.2168232682081828
6VFQ,,533,6WGN,SIGNALING PROTEIN/INHIBITOR,425,1.216885108846928
6THV,,285,2R3K,TRANSFERASE,381,1.2169952533872777
