Target,Function Target,Number of Alpha Carbons in Target,Reference,Function Reference,Number of Alpha Carbons in Reference,Distance
7QG1,TRANSFERASE,768,4Q00,METAL TRANSPORT,544,1.033986453349628
8D7P,TRANSFERASE/CIRCADIAN CLOCK PROTEIN,751,3U6B,TRANSLATION FACTOR/ANTIBIOTIC,594,1.0342235915446805
6XRO,HYDROLASE/HYDROLASE INHIBITOR,250,6RL4,PEPTIDE BINDING PROTEIN,188,1.0342464438729382
3N9O,OXIDOREDUCTASE,612,6IYB,TRANSPORT PROTEIN,495,1.0342718985516957
6LTK,CHAPERONE,282,1KE8,TRANSFERASE,208,1.0343205385883665
7SVB,HYDROLASE/DNA,400,1KJZ,TRANSLATION,555,1.034322810589649
6LPH,PROTEIN BINDING,427,4IBY,DNA BINDING PROTEIN,272,1.0343422002528504
6KCP,DNA BINDING PROTEIN/DNA,308,6RVN,CELL CYCLE,333,1.0344888957265106
7B39,GENE REGULATION,318,5SZH,ENDOCYTOSIS,255,1.034541263508262
6S7Y,NEUROPEPTIDE,356,5QQM,HYDROLASE/TRANSFERASE,320,1.0345660278208886
7DB4,TRANSFERASE,427,4IBY,DNA BINDING PROTEIN,454,1.0345823146927624
8DHH,OXIDOREDUCTASE/INHIBITOR,292,7UG1,CELL CYCLE,367,1.034614430710735
6VJ9,HYDROLASE/HYDROLASE INHIBITOR,162,1P2T,SIGNALING PROTEIN,182,1.034636634994887
7SH4,IMMUNE SYSTEM,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,378,1.034649212096933
7UVE,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,236,1.0346613593869285
7JW6,RNA BINDING PROTEIN,318,5SZH,ENDOCYTOSIS,231,1.0347096932488218
6WMS,TRANSCRIPTION,533,6WGN,SIGNALING PROTEIN/INHIBITOR,419,1.0348139664269616
6TWA,HYDROLASE,427,4IBY,DNA BINDING PROTEIN,522,1.0348595804230976
8EWR,OXIDOREDUCTASE/INHIBITOR,427,4IBY,DNA BINDING PROTEIN,447,1.0348689597826737
8PZ9,TRANSCRIPTION,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,246,1.034897822028474
6X5Q,TRANSFERASE,260,6SIP,PEPTIDE BINDING PROTEIN,284,1.0350438017930577
7YBX,TRANSFERASE/INHIBITOR,400,1KJZ,TRANSLATION,300,1.0351163820053306
6T2M,TRANSCRIPTION,250,6RL4,PEPTIDE BINDING PROTEIN,249,1.0352272341247468
6K80,TRANSFERASE,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,213,1.035463018717696
6ULV,TRANSCRIPTION/INHIBITOR,621,4ZI2,HYDROLASE,455,1.035563469585941
7ME4,SIGNALING PROTEIN,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,227,1.0355768392421532
6ZMU,OXIDOREDUCTASE,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,424,1.035740083267968
7POK,TRANSCRIPTION,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",372,1.0357504102720752
7O2R,HYDROLASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,357,1.0358424982912748
8OGC,TRANSFERASE,285,2R3K,TRANSFERASE,305,1.035975881224514
1ZL9,TRANSFERASE,535,4EDW,IMMUNE SYSTEM,414,1.036037912627925
7Y8D,APOPTOSIS,168,1YZG,TRANSPORT PROTEIN,151,1.0360793546437947
6S7F,HYDROLASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",523,1.0361329235948096
8HTC,TRANSFERASE,308,6RVN,CELL CYCLE,290,1.0361423777731174
8OGC,TRANSFERASE,424,4RJL,TRANSLATION,305,1.0363425321622546
7KP1,IMMUNE SYSTEM,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,378,1.0364114794974113
3N9O,OXIDOREDUCTASE,365,4XUL,TRANSFERASE,495,1.03671036818648
6S7Y,NEUROPEPTIDE,427,4IBY,DNA BINDING PROTEIN,320,1.0367726569782716
7NYQ,RNA BINDING PROTEIN,698,2GF0,TRANSPORT PROTEIN,566,1.036866695128595
6XYS,HYDROLASE,621,4ZI2,HYDROLASE,537,1.0369260872429389
6VRO,HYDROLASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,334,1.0369589282157476
8AK2,STRUCTURAL PROTEIN,411,6SI1,DNA BINDING PROTEIN,294,1.0370390970421988
6T2T,TRANSFERASE,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,254,1.037116121596528
7KP1,IMMUNE SYSTEM,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,378,1.0373158828666529
7NYQ,RNA BINDING PROTEIN,772,1EFC,RNA BINDING PROTEIN,566,1.037442984600995
7R5F,RNA BINDING PROTEIN,356,5QQL,HYDROLASE/TRANSFERASE,301,1.0374811704939877
7UVE,TRANSFERASE,303,7ZPC,CELL CYCLE,236,1.037579021676342
7LZF,TRANSFERASE,182,6JIK,SIGNALING PROTEIN,240,1.037594159579042
6TWA,HYDROLASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",522,1.0376068655460398
6XI4,CELL CYCLE,318,5SZH,ENDOCYTOSIS,408,1.0378356294297757
6WMS,TRANSCRIPTION,356,5QQM,HYDROLASE/TRANSFERASE,419,1.0378751537553008
8D6F,"SIGNALING PROTEIN,",427,4IBY,DNA BINDING PROTEIN,542,1.0379371635489243
6UJO,IMMUNE SYSTEM,279,1GII,TRANSFERASE,384,1.0381268228494118
7FCL,IMMUNE SYSTEM,329,8JCA,PROTEIN BINDING,438,1.038144554602042
8DKT,CELL CYCLE,427,4IBY,DNA BINDING PROTEIN,526,1.038186103012052
8DHH,OXIDOREDUCTASE/INHIBITOR,365,4XUL,TRANSFERASE,367,1.0382484556112497
8X72,TRANSFERASE,399,4DHE,CELL CYCLE,294,1.0383131604916849
6VJ9,HYDROLASE/HYDROLASE INHIBITOR,199,5TX4,TRANSFERASE/CYTOKINE,182,1.038314593555994
7Q4I,TRANSFERASE,768,4Q00,METAL TRANSPORT,569,1.0383162443494711
8R79,LIGASE,260,6SIP,PEPTIDE BINDING PROTEIN,240,1.0384345403934934
6PYO,PROTEIN TRANSPORT,296,5MHQ,CELL CYCLE/INHIBITOR,318,1.0384817082426478
8UQB,TRANSFERASE,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,408,1.0385045504882038
7CMR,TRANSFERASE,308,6RVN,CELL CYCLE,263,1.0385274768152308
8AK3,STRUCTURAL PROTEIN,249,7ULF,LIGASE,298,1.0385580527563285
6JLH,PROTEIN TRANSPORT,653,2FB3,LIGAND BINDING PROTEIN,531,1.0385685362309334
7Q4I,TRANSFERASE,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",569,1.0386116572637771
7R3O,TRANSFERASE,454,6ZQT,PROTEIN BINDING,395,1.0386239741635803
7ULU,HYDROLASE,454,6ZQT,PROTEIN BINDING,550,1.0386316282785466
6T2T,TRANSFERASE,168,3RSO,SIGNALING PROTEIN,254,1.0386880238947644
8IIZ,NUCLEAR PROTEIN,427,4IBY,DNA BINDING PROTEIN,525,1.03881306048752
7MNU,TRANSPORT PROTEIN,316,1CIP,HYDROLASE,243,1.0389098404599466
6KQP,TRANSFERASE,162,1P2T,SIGNALING PROTEIN,220,1.039006587739454
6K80,TRANSFERASE,279,1GII,TRANSFERASE,213,1.039043696543308
7ZFX,TRANSCRIPTION,246,2H2D,HYDROLASE,249,1.039052669654678
6XTZ,SIGNALING PROTEIN,365,4XUL,TRANSFERASE,425,1.039092869126778
8R79,LIGASE,318,5SZH,ENDOCYTOSIS,240,1.0390960970728702
8OGC,TRANSFERASE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,305,1.0393395131887524
6GWQ,HYDROLASE,612,6IYB,TRANSPORT PROTEIN,475,1.0393806568164388
6V7A,HYDROLASE,316,1CIP,HYDROLASE,357,1.0394418291685996
7ULU,HYDROLASE,768,4Q00,METAL TRANSPORT,550,1.0394810288406569
7CIW,TRANSFERASE,298,1YKR,TRANSFERASE,216,1.0394930176977448
6UJO,IMMUNE SYSTEM,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,384,1.0395427922102178
7ME4,SIGNALING PROTEIN,168,1YZG,TRANSPORT PROTEIN,227,1.0395975772345154
7FCL,IMMUNE SYSTEM,316,1CIP,HYDROLASE,438,1.0395991932833866
7B39,GENE REGULATION,250,7VV8,CELL CYCLE,255,1.0396025680457366
7DCJ,DNA BINDING PROTEIN/DNA,182,1SVI,HYDROLASE,204,1.0396431959443515
8FDX,LIGASE,279,1GII,TRANSFERASE,202,1.039685663950458
7BO6,TRANSCRIPTION,250,6RL4,PEPTIDE BINDING PROTEIN,247,1.0397391494818649
6TBN,BIOSYNTHETIC PROTEIN,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",483,1.039795689114867
7JHD,TRANSCRIPTION,643,4YW9,LYASE,467,1.0398158286026675
8DHU,RNA BINDING PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,299,1.0398313955321998
8DHH,OXIDOREDUCTASE/INHIBITOR,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,367,1.0399057514892025
8IIZ,NUCLEAR PROTEIN,621,4ZI2,HYDROLASE,525,1.0399917242896797
7CIU,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,415,1.0400723366593811
6XJN,HYDROLASE,296,5MHQ,CELL CYCLE/INHIBITOR,417,1.0400728753243906
6KQP,TRANSFERASE,303,7ZPC,CELL CYCLE,220,1.0400820650532117
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,308,6RVN,CELL CYCLE,300,1.0403810973038463
8G8S,TRANSCRIPTION,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",448,1.0404519307013038
6K80,TRANSFERASE,303,7ZPC,CELL CYCLE,213,1.040452845779107
8PZ9,TRANSCRIPTION,249,7ULF,LIGASE,246,1.0405017266748533
6VJ8,HYDROLASE/HYDROLASE INHIBITOR,162,1P2T,SIGNALING PROTEIN,182,1.04053078023827
7LG3,IMMUNE SYSTEM/VIRAL PROTEIN,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,394,1.0405643556719286
8HAQ,TRANSFERASE,643,4YW9,LYASE,490,1.0406699411381997
6ELK,OXIDOREDUCTASE,285,2R3K,TRANSFERASE,392,1.0407886597683578
7BO6,TRANSCRIPTION,250,7VV8,CELL CYCLE,247,1.040833766084242
1ZL9,TRANSFERASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,414,1.040863421823295
7XHK,HYDROLASE,457,7G8E,CYTOSOLIC PROTEIN,334,1.0408733157714911
6TBN,BIOSYNTHETIC PROTEIN,411,6SI1,DNA BINDING PROTEIN,483,1.040923173167113
6S7F,HYDROLASE,441,8DGO,SIGNALING PROTEIN,523,1.040937286592906
6XRP,HYDROLASE/HYDROLASE INHIBITOR,250,7VV8,CELL CYCLE,186,1.0409704084115807
6XTZ,SIGNALING PROTEIN,316,1CIP,HYDROLASE,425,1.0410943107348836
7ZFX,TRANSCRIPTION,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,249,1.0411127045360042
8DHU,RNA BINDING PROTEIN,285,2R3K,TRANSFERASE,299,1.0412765908246857
6XZI,GENE REGULATION,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,247,1.041307692071289
7R5F,RNA BINDING PROTEIN,356,5QQM,HYDROLASE/TRANSFERASE,301,1.0414368138619357
8G8S,TRANSCRIPTION,643,4YW9,LYASE,448,1.0414590156190846
6XG7,PROTEIN BINDING,249,7ULF,LIGASE,304,1.041782944118721
8GM5,TRANSLATION/TRANSFERASE,424,4RJL,TRANSLATION,555,1.041810953672057
6THV,HYDROLASE,533,6WGN,SIGNALING PROTEIN/INHIBITOR,381,1.0418253605799703
8D6D,"SIGNALING PROTEIN,",427,4IBY,DNA BINDING PROTEIN,544,1.0418308299935617
6K80,TRANSFERASE,260,6SIP,PEPTIDE BINDING PROTEIN,213,1.041851409008046
6JVR,HYDROLASE,292,2C6I,TRANSFERASE,305,1.041868527690163
7AXF,NUCLEAR PROTEIN,246,2H2D,HYDROLASE,267,1.0419376634045412
8DIO,RNA BINDING PROTEIN,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,300,1.0420467145258347
7LZF,TRANSFERASE,303,7ZPC,CELL CYCLE,240,1.0420497394033772
7ME4,SIGNALING PROTEIN,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,227,1.042125850539644
6YRQ,VIRAL PROTEIN,365,4XUL,TRANSFERASE,400,1.0421689505265392
7YB7,APOPTOSIS,292,7UG1,CELL CYCLE,294,1.0423106742930812
7RL3,"SIGNALING PROTEIN, TRANSFERASE",168,3RSO,SIGNALING PROTEIN,165,1.042333830263537
8B8Z,TRANSCRIPTION,674,1RDY,HYDROLASE,528,1.042353287425143
6XJN,HYDROLASE,602,7MDP,HYDROLASE/IMMUNE SYSTEM,417,1.042397214650343
7PRX,SIGNALING PROTEIN,249,7ULF,LIGASE,267,1.0425068825927606
6LPH,PROTEIN BINDING,316,1CIP,HYDROLASE,272,1.042674676565128
7MFW,CELL ADHESION,250,7VV8,CELL CYCLE,191,1.0426927811793505
6ELK,OXIDOREDUCTASE,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,392,1.0427103699969649
7DAY,TRANSFERASE,427,4IBY,DNA BINDING PROTEIN,451,1.0428494478726575
7SH4,IMMUNE SYSTEM,356,5QQL,HYDROLASE/TRANSFERASE,378,1.042887008231824
8K71,OXIDOREDUCTASE,399,4DHE,CELL CYCLE,340,1.0430277034480335
8X72,TRANSFERASE,365,4XUL,TRANSFERASE,294,1.0430679163378438
6UPR,STRUCTURAL PROTEIN,441,8DGO,SIGNALING PROTEIN,543,1.043158301567105
6S7X,NEUROPEPTIDE,457,7G8E,CYTOSOLIC PROTEIN,332,1.0432169410001024
8FDX,LIGASE,303,7ZPC,CELL CYCLE,202,1.0433078874542296
7APJ,SIGNALING PROTEIN,411,6SI1,DNA BINDING PROTEIN,502,1.0434432493890868
8IIZ,NUCLEAR PROTEIN,698,2GF0,TRANSPORT PROTEIN,525,1.043537395898125
6WFW,IMMUNE SYSTEM,611,4GNL,LYASE,491,1.0437070181093353
6PYO,PROTEIN TRANSPORT,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,318,1.0437329199094516
7DAY,TRANSFERASE,612,6IYB,TRANSPORT PROTEIN,451,1.043759951239957
7MNU,TRANSPORT PROTEIN,183,1ZNY,TRANSFERASE,243,1.0438376512740877
7YB7,APOPTOSIS,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,294,1.0439137929034754
7PRX,SIGNALING PROTEIN,250,7VV8,CELL CYCLE,267,1.043940082727835
7RL3,"SIGNALING PROTEIN, TRANSFERASE",198,4LOF,APOPTOSIS,165,1.0439893919150307
6VRO,HYDROLASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",334,1.0440375386507332
7AZT,LYASE,674,1RDY,HYDROLASE,502,1.0440573775189468
7MNU,TRANSPORT PROTEIN,182,3RZV,HYDROLASE,243,1.044184633435385
7E1T,PROTEIN TRANSPORT,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,403,1.0441999691941513
6XRP,HYDROLASE/HYDROLASE INHIBITOR,162,1P2T,SIGNALING PROTEIN,186,1.044207080619028
7R3O,TRANSFERASE,292,2C6I,TRANSFERASE,395,1.044277621323071
7YBX,TRANSFERASE/INHIBITOR,356,5QQL,HYDROLASE/TRANSFERASE,300,1.044290906323712
8K71,OXIDOREDUCTASE,441,8DGO,SIGNALING PROTEIN,340,1.0443690556900842
8SWE,ONCOPROTEIN,792,6TA7,RNA BINDING PROTEIN,574,1.0443797274801567
6WYP,HYDROLASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,358,1.0444737868698604
7CIV,TRANSFERASE,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,215,1.044516954112458
7R3O,TRANSFERASE,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,395,1.0445653079220003
7DAZ,TRANSFERASE,643,4YW9,LYASE,457,1.0446303420864484
6V4H,APOPTOSIS,168,1YZG,TRANSPORT PROTEIN,209,1.0446632643546154
8D6F,"SIGNALING PROTEIN,",356,5QQL,HYDROLASE/TRANSFERASE,542,1.0447355611330915
4IRR,TRANSFERASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",589,1.0448803667072522
7AXF,NUCLEAR PROTEIN,249,7ULF,LIGASE,267,1.0449539012575677
6XYS,HYDROLASE,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",537,1.0449854990351604
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,400,1KJZ,TRANSLATION,300,1.045028768979838
7DB4,TRANSFERASE,612,6IYB,TRANSPORT PROTEIN,454,1.045137402969074
6YRQ,VIRAL PROTEIN,329,8JCA,PROTEIN BINDING,400,1.045244925152497
8X72,TRANSFERASE,356,5QQM,HYDROLASE/TRANSFERASE,294,1.0452796272957563
6VNV,TRANSFERASE/INHIBITOR,365,4XUL,TRANSFERASE,274,1.04533124836396
6QQ4,TRANSPORT PROTEIN,298,1YKR,TRANSFERASE,243,1.0453516805594034
7OXZ,TRANSCRIPTION,246,2H2D,HYDROLASE,248,1.0453635755520685
6ZW1,HYDROLASE,533,6WGN,SIGNALING PROTEIN/INHIBITOR,380,1.045435451484911
6YUY,HYDROLASE,483,5VBZ,HYDROLASE,360,1.0457116617757785
7DB0,TRANSFERASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,461,1.0457171338081213
8R79,LIGASE,179,1M7B,SIGNALING PROTEIN,240,1.0458121199209989
8DHH,OXIDOREDUCTASE/INHIBITOR,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,367,1.0458215850984574
6PKH,HYDROLASE,282,1KE8,TRANSFERASE,312,1.0458606989022443
7ALT,SIGNALING PROTEIN,441,8DGO,SIGNALING PROTEIN,535,1.0459486143797077
8HTC,TRANSFERASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,290,1.045995183653596
7ME5,SIGNALING PROTEIN,162,1P2T,SIGNALING PROTEIN,153,1.046059572434712
8HAQ,TRANSFERASE,356,5QQM,HYDROLASE/TRANSFERASE,490,1.046215693872982
6VFQ,CELL ADHESION,279,1GII,TRANSFERASE,425,1.0462175704580716
7MRO,CELL ADHESION,400,1KJZ,TRANSLATION,305,1.0462257556767134
3N9Q,OXIDOREDUCTASE,365,4XUL,TRANSFERASE,496,1.0462278745618463
8SO1,OXIDOREDUCTASE/SUBSTRATE,670,3ZYC,HYDROLASE,470,1.0462362525498718
6K80,TRANSFERASE,162,1P2T,SIGNALING PROTEIN,213,1.0463504270926105
7XUB,TRANSFERASE,670,3ZYC,HYDROLASE,538,1.0464309735519317
6KQP,TRANSFERASE,161,4L9S,SIGNALING PROTEIN,220,1.0467943002241888
6LPH,PROTEIN BINDING,182,3RZV,HYDROLASE,272,1.0468107657639665
6S7Y,NEUROPEPTIDE,250,6RL4,PEPTIDE BINDING PROTEIN,320,1.0468563798176835
7ME5,SIGNALING PROTEIN,172,8QUG,TRANSFERASE,153,1.0470081884028128
6S7X,NEUROPEPTIDE,250,6RL4,PEPTIDE BINDING PROTEIN,332,1.0470255891398907
6JLH,PROTEIN TRANSPORT,602,7MDP,HYDROLASE/IMMUNE SYSTEM,531,1.047187759561673
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,457,7G8E,CYTOSOLIC PROTEIN,329,1.0473198422133312
7CFB,GENE REGULATION,483,5VBZ,HYDROLASE,388,1.0473309784737683
7CIX,TRANSFERASE,286,4I6H,TRANSFERASE/TRANSFERASE INHIBITOR,216,1.0473363049089082
6PKH,HYDROLASE,441,8DGO,SIGNALING PROTEIN,312,1.0473764902663143
7E1T,PROTEIN TRANSPORT,285,2R3K,TRANSFERASE,403,1.0474638737826718
7DCJ,DNA BINDING PROTEIN/DNA,172,8QUG,TRANSFERASE,204,1.047470278550332
7YBX,TRANSFERASE/INHIBITOR,399,4DHE,CELL CYCLE,300,1.047496735238413
7CUY,HYDROLASE,250,6RL4,PEPTIDE BINDING PROTEIN,307,1.0475514200738063
7DAZ,TRANSFERASE,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,457,1.047573991864144
7KHG,TRANSFERASE/TRANSFERASE INHIBITOR,260,6SIP,PEPTIDE BINDING PROTEIN,329,1.0475823407460128
7O3S,PEPTIDE BINDING PROTEIN,285,2R3K,TRANSFERASE,235,1.0475947106636925
7F2X,SIGNALING PROTEIN,319,3LUI,PROTEIN TRANSPORT,303,1.0476729167627028
7SVB,HYDROLASE/DNA,454,6ZQT,PROTEIN BINDING,555,1.047721683018483
8HAQ,TRANSFERASE,356,5QQL,HYDROLASE/TRANSFERASE,490,1.0477661019909996
7DB2,TRANSFERASE,612,6IYB,TRANSPORT PROTEIN,468,1.0478098855031177
7F2X,SIGNALING PROTEIN,246,2H2D,HYDROLASE,303,1.047819093177022
7UVE,TRANSFERASE,279,1GII,TRANSFERASE,236,1.047865312335137
6LTK,CHAPERONE,199,5TX4,TRANSFERASE/CYTOKINE,208,1.0479060442484731
8GYN,LIPID BINDING PROTEIN,198,4LOF,APOPTOSIS,169,1.0479176964018528
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,399,4DHE,CELL CYCLE,531,1.0479290869809903
7ME4,SIGNALING PROTEIN,250,6RL4,PEPTIDE BINDING PROTEIN,227,1.048167266118322
8DHH,OXIDOREDUCTASE/INHIBITOR,304,4GCJ,TRANSFERASE/TRANSFERASE INHIBITOR,367,1.0482117789019765
8R79,LIGASE,292,2C6I,TRANSFERASE,240,1.048216961407863
6JVR,HYDROLASE,400,1KJZ,TRANSLATION,305,1.048230213739803
8ADD,HYDROLASE,279,1GII,TRANSFERASE,209,1.048236336426607
6UPR,STRUCTURAL PROTEIN,792,6TA7,RNA BINDING PROTEIN,543,1.0482439248067887
8K71,OXIDOREDUCTASE,424,4RJL,TRANSLATION,340,1.0482783185308615
7DB0,TRANSFERASE,611,4GNL,LYASE,461,1.0483751765010023
7DB3,TRANSFERASE,612,6IYB,TRANSPORT PROTEIN,450,1.048393955629629
6KOJ,PROTEIN TRANSPORT,250,7VV8,CELL CYCLE,257,1.0484132516819564
7ME4,SIGNALING PROTEIN,298,1YKR,TRANSFERASE,227,1.0484147535003503
6GWQ,HYDROLASE,329,8JCA,PROTEIN BINDING,475,1.0484588878883168
8SWE,ONCOPROTEIN,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",574,1.0486176945683632
7X15,LIPID TRANSPORT,249,7ULF,LIGASE,251,1.048669948657249
7O08,TRANSFERASE,411,6SI1,DNA BINDING PROTEIN,451,1.0486909016233488
6TBN,BIOSYNTHETIC PROTEIN,399,4DHE,CELL CYCLE,483,1.0487177937376655
7DB3,TRANSFERASE,611,4GNL,LYASE,450,1.0487795710504189
6S7X,NEUROPEPTIDE,308,6RVN,CELL CYCLE,332,1.0488783550593428
8K71,OXIDOREDUCTASE,247,2OH6,"STRUCTURAL PROTEIN, RNA BINDING PROTEIN",340,1.0489775620710629
6KQP,TRANSFERASE,199,5TX4,TRANSFERASE/CYTOKINE,220,1.048994405979916
7AZW,TRANSCRIPTION,313,1GFI,SIGNAL TRANSDUCTION PROTEIN,235,1.04912126866539
7R3O,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,395,1.0491699838875317
7MQY,CELL ADHESION,303,7ZPC,CELL CYCLE,370,1.0492835850717142
7LZF,TRANSFERASE,296,5MHQ,CELL CYCLE/INHIBITOR,240,1.0492932462057396
7SH4,IMMUNE SYSTEM,356,5QQM,HYDROLASE/TRANSFERASE,378,1.0498160301530417
8DHH,OXIDOREDUCTASE/INHIBITOR,303,7ZPC,CELL CYCLE,367,1.0498171541023071
6LTK,CHAPERONE,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,208,1.0498439023338368
7OC3,PROTEIN BINDING,283,3SW7,TRANSFERASE/TRANSFERASE INHIBITOR,407,1.0498534176354863
6TWA,HYDROLASE,441,8DGO,SIGNALING PROTEIN,522,1.0499208138133842
7JO7,CYTOSOLIC PROTEIN,356,5QQM,HYDROLASE/TRANSFERASE,367,1.050046192022676
6YRQ,VIRAL PROTEIN,454,6ZQT,PROTEIN BINDING,400,1.0500764698915428
7SH4,IMMUNE SYSTEM,292,7UG1,CELL CYCLE,378,1.0501603233805086
6PGW,CELL ADHESION,483,5VBZ,HYDROLASE,427,1.0502110686919472
7DAY,TRANSFERASE,611,4GNL,LYASE,451,1.0502399721760116
6WYP,HYDROLASE,316,1CIP,HYDROLASE,358,1.0502993090053527
8OG5,TRANSFERASE,246,2H2D,HYDROLASE,301,1.050373875596765
7CIX,TRANSFERASE,298,1YKR,TRANSFERASE,216,1.0504140399638926
7OC3,PROTEIN BINDING,456,2NZ8,"SIGNALING PROTEIN,CELL CYCLE",407,1.050414921259704
7MQY,CELL ADHESION,296,5MHQ,CELL CYCLE/INHIBITOR,370,1.0504963440975643
6XZI,GENE REGULATION,249,7ULF,LIGASE,247,1.050578507476822
7YB7,APOPTOSIS,303,7ZPC,CELL CYCLE,294,1.0507505849029626
6PGW,CELL ADHESION,246,2H2D,HYDROLASE,427,1.0507564484599163
7OC3,PROTEIN BINDING,282,3RAH,TRANSFERASE/TRANSFERASE INHIBITOR,407,1.0507833362595038
8DHH,OXIDOREDUCTASE/INHIBITOR,292,2C6I,TRANSFERASE,367,1.0507934638114045
8EWR,OXIDOREDUCTASE/INHIBITOR,316,1CIP,HYDROLASE,447,1.0507973565293718
6XZJ,GENE REGULATION,349,4P4U,ANTIVIRAL PROTEIN/HYDROLASE,245,1.0508940243906275
7ZHH,RNA BINDING PROTEIN,246,2H2D,HYDROLASE,222,1.050964260500019
6O5Z,TRANSFERASE/TRANSFERASE INHIBITOR,698,2GF0,TRANSPORT PROTEIN,531,1.0511050393094252
6UPR,STRUCTURAL PROTEIN,720,5JCP,"SIGNALING PROTEIN,HYDROLASE",543,1.0511213991218844
6YUY,HYDROLASE,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,360,1.051184907488528
8BOK,TRANSFERASE,356,5QQL,HYDROLASE/TRANSFERASE,282,1.0512471445585791
8BOK,TRANSFERASE,356,5QQM,HYDROLASE/TRANSFERASE,282,1.0512609934145078
8OIJ,RNA BINDING PROTEIN,530,4MXO,TRANSFERASE/TRANSFERASE INHIBITOR,350,1.051306513121477
7CQV,SIGNALING PROTEIN,183,1ZNY,TRANSFERASE,195,1.0513591641697817
7KP1,IMMUNE SYSTEM,279,1GII,TRANSFERASE,378,1.0514053856956729
7MRO,CELL ADHESION,411,6SI1,DNA BINDING PROTEIN,305,1.051410528520745
7CFB,GENE REGULATION,457,7G8E,CYTOSOLIC PROTEIN,388,1.0514978354255509
6XDB,TRANSFERASE/TRANSFERASE INHIBITOR,533,6WGN,SIGNALING PROTEIN/INHIBITOR,404,1.051528197501418
7ULU,HYDROLASE,424,4RJL,TRANSLATION,550,1.0515384990423209
7KP1,IMMUNE SYSTEM,356,5QQL,HYDROLASE/TRANSFERASE,378,1.051574136691138
6V4H,APOPTOSIS,172,8QUG,TRANSFERASE,209,1.0516043969962756
8DHH,OXIDOREDUCTASE/INHIBITOR,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,367,1.05164583841917
6XYS,HYDROLASE,454,6ZQT,PROTEIN BINDING,537,1.0516583491053362
7E1T,PROTEIN TRANSPORT,294,3QZI,TRANSFERASE/TRANSFERASE INHIBITOR,403,1.0516944808942763
7WCW,TRANSFERASE/TRANSFERASE INHIBITOR,356,5QQL,HYDROLASE/TRANSFERASE,300,1.0516987295627018
